player,sleeper_id,pos,team,bye,proj_pts,vorp,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy
Brandon Aubrey,11533,K,DAL,14,112.5,-19.5,3,false,25,213,186.46,129.8,-83.2,market_implied,,12.0,false,,,,0.0,,,0,true
Chicago Bears,CHI,DEF,CHI,10,93.0,-20.0,1,false,22,214,268.45,169.3,-44.7,market_implied,,16.0,false,,,,,,,,
Jalen Coker,11646,WR,CAR,5,98.0,-20.0,5,false,83,215,125.3,120.6,-94.4,blend,,12.0,false,,,,0.371,0.167,1.53,4,true
AJ Barner,11603,TE,SEA,11,109.3,-20.4,2,false,22,216,208.35,157.0,-59.0,blend,,14.5,false,,,,0.261,0.158,1.2,8,true
Kareem Hunt,4098,RB,FA,,100.3,-21.1,6,false,52,217,315.02,,,blend,,14.0,false,,,,0.066,0.072,0.41,22,true
Rashid Shaheed,8676,WR,SEA,11,96.9,-21.1,5,false,86,218,146.85,129.0,-89.0,blend,,12.0,false,,,,0.4,0.25,1.87,2,true
Chris Rodriguez Jr.,10219,RB,JAC,7,100.2,-21.2,6,false,53,219,143.1,157.0,-62.0,blend,,12.0,false,Bhayshul Tuten,14.0,,0.022,0.027,0.2,22,true
New Orleans Saints,NO,DEF,NOS,8,91.0,-22.0,1,true,23,220,268.87,176.6,-43.4,market_implied,,16.0,false,,,,,,,,
Kimani Vidal,11647,RB,LAC,7,99.1,-22.2,6,false,54,221,194.76,138.6,-82.4,blend,,12.0,false,Omarion Hampton,12.0,,0.083,0.073,0.45,14,true
Jake Elliott,4195,K,PHI,10,109.5,-22.5,4,true,28,222,295.5,145.0,-77.0,market_implied,,16.0,false,,,,,,,,
C.J. Stroud,9758,QB,HOU,8,214.6,-22.6,5,false,17,223,140.95,159.6,-63.4,blend,,14.3,false,,,,0.0,0.0,0.0,3,true
Devin Singletary,6130,RB,NYG,8,98.5,-22.9,6,false,55,224,288.53,,,blend,,15.3,false,Cam Skattebo,12.0,,0.056,0.105,0.84,18,true
Dylan Sampson,12469,RB,CLE,11,98.3,-23.1,6,false,56,225,149.56,159.9,-65.1,blend,,14.0,false,Quinshon Judkins,13.0,compromised,0.115,0.258,1.75,3,true
Malik Washington,11610,WR,MIA,6,94.9,-23.2,5,false,88,226,199.43,149.6,-76.4,blend,,13.5,false,,,,0.29,0.204,1.0,8,true
Keon Coleman,11637,WR,BUF,7,94.0,-24.0,5,false,90,227,244.59,98.6,-128.4,blend,compromised,12.0,false,,,,0.41,0.184,1.26,9,true
Deshaun Watson,4017,QB,CLE,11,212.8,-24.4,5,false,18,228,292.13,,,market_implied,,16.0,true,,,,,,,,
Demond Claiborne,13347,RB,MIN,6,96.9,-24.4,6,false,57,229,254.0,,,market_implied,,16.0,true,Aaron Jones Sr.,12.333333333333334,,,,,,
Jaxson Dart,12508,QB,NYG,8,212.3,-24.9,5,false,19,230,94.7,118.1,-111.9,blend,,13.0,false,,,,0.0,0.0,0.0,12,true
Bam Knight,8122,RB,ARI,14,96.1,-25.2,6,false,58,231,300.36,,,blend,,12.0,false,Jeremiyah Love,16.0,compromised,0.122,0.157,0.81,15,true
Brock Purdy,8183,QB,SFO,8,211.8,-25.4,5,false,20,232,97.35,89.1,-142.9,blend,,12.3,false,,,,0.0,0.0,0.0,3,true
