sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_gt,lines_gt,blend_gt_rb,lines_gt_rb
8110,Jake Ferguson,TE,118.4,124.11330591495702,154.19746436079586,134.64276137100063,152.43900000000002,188.1,17,2024->2025,137.69628585681602,155.89612026664858,134.64276137100063,152.43900000000002
12501,Matthew Golden,WR,78.2,,184.664579919665,184.664579919665,187.442,70.0,14,2024->2025,178.35134276841885,181.03380954669984,184.664579919665,187.442
11564,Drake Maye,QB,110.4,250.92527869627847,268.92242607784414,261.72356712521787,286.8002,359.96000000000004,17,2024->2025,237.8530338601827,260.64254904897456,261.72356712521787,286.8002
7553,Kyle Pitts Sr.,TE,142.3,126.3663052563159,144.29478015997088,132.64127147259515,148.66500000000002,210.8,17,2024->2025,137.1706139075636,153.74150963850798,132.64127147259515,148.66500000000002
8121,Romeo Doubs,WR,132.5,171.06106754092275,162.62947320169744,164.3157920695425,121.295,165.4,16,2024->2025,164.3157920695425,121.295,164.3157920695425,121.295
12530,Travis Hunter,WR,70.8,,188.81870511874882,188.81870511874882,165.58000000000004,63.800000000000004,7,2024->2025,196.78364888499547,172.56466493553012,188.81870511874882,165.58000000000004
1426,DeAndre Hopkins,WR,166.5,154.84231584393507,153.0846725858762,153.43620123748798,93.10900000000001,67.0,17,2024->2025,153.43620123748798,93.10900000000001,153.43620123748798,93.10900000000001
11624,Xavier Worthy,WR,50.9,184.8950418702796,202.60842546636778,199.06574874715014,243.84799999999998,109.9,14,2024->2025,206.84086332482804,253.37222077363893,199.06574874715014,243.84799999999998
12509,Tre' Harris,WR,155.4,,155.9677141420685,155.9677141420685,25.721000000000004,69.4,16,2024->2025,155.9677141420685,25.721000000000004,155.9677141420685,25.721000000000004
12492,Pat Bryant,WR,167.2,,152.9093575569437,152.9093575569437,27.913999999999998,74.8,13,2024->2025,152.9093575569437,27.913999999999998,152.9093575569437,27.913999999999998
12512,Quinshon Judkins,RB,125.4,,168.31819599944996,168.31819599944996,,169.8,14,2024->2025,154.44318761856354,,154.44318761856354,
12533,Jacory Croskey-Merritt,RB,107.5,,175.10940389253088,175.10940389253088,164.13500000000002,140.3,17,2024->2025,170.40752938354495,159.72779995604324,170.40752938354495,159.72779995604324
4199,Aaron Jones Sr.,RB,63.2,240.40497072367214,198.53136369437732,225.74920826341892,223.72,118.7,12,2024->2025,219.6876009244495,217.71287907007033,219.6876009244495,217.71287907007033
1466,Travis Kelce,TE,65.0,200.8201019561151,186.49471439030924,192.2248694166316,201.552,193.20000000000002,17,2024->2025,194.92717103719136,204.38542263610316,192.2248694166316,201.552
5859,A.J. Brown,WR,17.9,262.8466798831861,246.2789919661588,249.59252954956423,256.56399999999996,220.3,15,2024->2025,261.1610658179954,268.45566175978985,249.59252954956423,256.56399999999996
11565,J.J. McCarthy,QB,107.1,,270.5280377600659,270.5280377600659,274.4581999999999,137.38,10,2024->2025,245.85449156242154,249.42620282480013,270.5280377600659,274.4581999999999
12484,Jayden Higgins,WR,129.8,,163.4897881926032,163.4897881926032,140.522,129.5,17,2024->2025,163.4897881926032,140.522,163.4897881926032,140.522
4018,Joe Mixon,RB,113.3,281.05612351663194,172.7923560344446,216.09786302731956,,0.0,0,2024->2025,210.2954046154454,,210.2954046154454,
8154,Brian Robinson,RB,149.0,186.7369650108146,160.71478739702115,171.12365844253853,76.228,62.50000000000001,17,2024->2025,171.12365844253853,76.228,171.12365844253853,76.228
8125,Calvin Austin III,WR,167.7,119.80527515669806,152.78458132776632,146.18872009355266,112.71,86.2,14,2024->2025,146.18872009355266,112.71,146.18872009355266,112.71
4137,James Conner,RB,42.3,236.3876832735825,216.23572788678192,229.3344988882023,249.424,33.300000000000004,3,2024->2025,224.29855954514375,243.94691678403186,224.29855954514375,243.94691678403186
8205,Isiah Pacheco,RB,66.8,138.5141364795097,196.0886286652309,173.05883179094243,209.81400000000002,87.3,13,2024->2025,168.41201733286738,204.18027002148997,168.41201733286738,204.18027002148997
5096,Ray-Ray McCloud III,WR,167.8,131.46588538124678,152.7596707290534,148.50091365949208,142.205,13.900000000000002,6,2024->2025,148.50091365949208,142.205,148.50091365949208,142.205
6819,Michael Pittman Jr.,WR,87.2,179.52201776245118,180.11246877717537,179.99437857423055,189.635,202.4,17,2024->2025,173.84080435699494,183.15183615939023,179.99437857423055,189.635
10859,Sam LaPorta,TE,63.0,170.03718249010265,188.1778933635975,176.38643129582584,180.965,106.9,9,2024->2025,178.86607579022456,183.50901011819485,176.38643129582584,180.965
5844,T.J. Hockenson,TE,73.1,137.80171851301003,180.16964888615715,156.86728718092624,177.44599999999997,112.8,15,2024->2025,159.07253109992746,179.94053993553007,156.86728718092624,177.44599999999997
8131,Isaiah Likely,TE,150.2,134.3281041169822,141.3848552710431,138.56215480941876,,61.7,12,2024->2025,143.29367947509292,,138.56215480941876,
6801,Tee Higgins,WR,21.7,276.08570211705296,238.23441025643658,245.80466862855985,245.20800000000003,211.6,15,2024->2025,257.19763871909504,256.5733146848138,245.80466862855985,245.20800000000003
5022,Dallas Goedert,TE,131.1,155.58418113666207,148.7098497720332,152.49073202257907,172.907,185.1,15,2024->2025,157.6978801132242,178.81130869448424,152.49073202257907,172.907
8132,Tyler Allgeier,RB,154.5,106.1965119196496,159.11648959523154,137.94849852499877,97.155,123.0,17,2024->2025,137.94849852499877,97.155,137.94849852499877,97.155
5927,Terry McLaurin,WR,38.3,240.16875047473343,214.49334284054737,219.62842436738458,256.938,114.2,10,2024->2025,228.20667640078833,266.9734902936963,219.62842436738458,256.938
12490,Bhayshul Tuten,RB,152.7,,159.63321810515842,159.63321810515842,95.64200000000001,88.6,15,2024->2025,159.63321810515842,95.64200000000001,159.63321810515842,95.64200000000001
11576,Braelon Allen,RB,148.0,89.2388155118131,161.01171553294688,114.35933051920993,97.478,15.3,4,2024->2025,114.35933051920993,97.478,114.35933051920993,97.478
96,Aaron Rodgers,QB,163.6,256.12367093410074,248.1128974607105,251.3172068500666,271.88439999999997,234.08,16,2024->2025,251.3172068500666,271.88439999999997,251.3172068500666,271.88439999999997
11589,Trey Benson,RB,142.2,66.51398986865065,162.77448119327994,100.2051618322709,105.978,35.4,4,2024->2025,91.94492917010894,97.24189378487407,91.94492917010894,97.24189378487407
3198,Derrick Henry,RB,11.1,265.08715977116645,275.2260792712309,268.635781596189,264.231,279.5,17,2024->2025,272.13244063254587,267.6703248298711,272.13244063254587,267.6703248298711
2449,Stefon Diggs,WR,77.3,218.35655903882991,185.14829947267108,191.78995138590287,197.88000000000005,210.3,17,2024->2025,185.23311494844464,191.1149594706681,191.78995138590287,197.88000000000005
8155,Breece Hall,RB,47.5,229.63834043255923,211.12339302038478,223.15810883829815,229.78900000000002,207.66,16,2024->2025,218.25779638871256,224.7430803005561,218.25779638871256,224.7430803005561
5846,DK Metcalf,WR,37.6,206.74477823677503,215.2641491399186,213.56027495928993,242.641,187.2,15,2024->2025,221.90151707401432,252.1180777399713,213.56027495928993,242.641
9228,Bryce Young,QB,153.3,243.51563861468748,251.55338902992924,246.32885126002208,264.30920000000003,229.04000000000002,16,2024->2025,246.32885126002208,264.30920000000003,246.32885126002208,264.30920000000003
12457,Jaydon Blue,RB,144.0,,162.2198366278373,162.2198366278373,,20.400000000000002,5,2024->2025,148.84753555609447,,148.84753555609447,
12507,Omarion Hampton,RB,38.6,,220.2718328012534,220.2718328012534,244.63,135.7,9,2024->2025,215.43489987424442,239.25818787637803,215.43489987424442,239.25818787637803
12514,Emeka Egbuka,WR,84.2,,181.57542546750258,181.57542546750258,218.00800000000004,195.7,17,2024->2025,175.36779906555017,210.5548316367567,181.57542546750258,218.00800000000004
8126,Wan'Dale Robinson,WR,127.2,181.99643848966664,164.33532344494765,167.86754645389146,143.667,217.9,16,2024->2025,167.86754645389146,143.667,167.86754645389146,143.667
8146,Garrett Wilson,WR,39.5,238.35266777916053,213.20416518311762,218.2338657023262,241.33199999999997,99.5,7,2024->2025,226.75764903142314,250.75795078796557,218.2338657023262,241.33199999999997
4663,Austin Ekeler,RB,84.3,182.01573741211234,185.8289690912668,184.303676419605,205.95499999999998,13.1,2,2024->2025,179.35492587390863,200.42488829284966,179.35492587390863,200.42488829284966
12497,Tory Horton,WR,153.6,,156.45456463656967,156.45456463656967,94.571,65.1,8,2024->2025,156.45456463656967,94.571,156.45456463656967,94.571
6786,CeeDee Lamb,WR,4.9,248.69533444128643,300.4174720301717,290.0730445123947,299.217,200.9,13,2024->2025,303.5178400837682,313.0856150698424,290.0730445123947,299.217
5045,Courtland Sutton,WR,47.3,245.94841828262648,205.6736504728212,213.72860403478228,235.246,219.70000000000002,17,2024->2025,222.0764207503958,244.43424366045846,213.72860403478228,235.246
11646,Jalen Coker,WR,152.0,139.20625495666275,156.89213437405297,153.35495849057494,,90.4,11,2024->2025,153.35495849057494,,153.35495849057494,
7564,Ja'Marr Chase,WR,1.5,322.1523162282934,349.88429822682485,344.3379018271186,345.933,313.6,16,2024->2025,360.2978566906374,361.96688716869625,344.3379018271186,345.933
7611,Rhamondre Stevenson,RB,119.7,195.8943866295783,170.36943382453342,180.57941494655137,119.187,178.8,14,2024->2025,165.69367498883966,109.36203357808022,165.69367498883966,109.36203357808022
12535,Isaac TeSlaa,WR,156.7,,155.61959430413208,155.61959430413208,62.271,75.9,14,2024->2025,155.61959430413208,62.271,155.61959430413208,62.271
5947,Jakobi Meyers,WR,70.9,224.20991459781743,188.75972482934785,195.84976278304177,232.27100000000002,175.8,16,2024->2025,204.11129781591166,242.0688929172636,195.84976278304177,232.27100000000002
4037,Chris Godwin Jr.,WR,99.8,254.3261895348348,174.4726630019692,190.44336830854235,,83.0,9,2024->2025,183.93256830273188,,190.44336830854235,
