sleeper_id,name,pos,adp,model,sleeper,sleeper_as_of,espn,espn_as_of,sheet,sheet_as_of,mean,mean_n_sources,pair,league,model_built,actual
11581,MarShawn Lloyd,RB,120.8,109.96875,137.0,2026-09-02,124.04008035300001,2026-09-03,146.41,2026-09-01,130.52004017649998,2,2026,keefamania,2026-09-02,
13337,Emmett Johnson,RB,126.1,106.67500000000001,59.2,2026-09-02,49.454618250500005,2026-09-03,35.92,2026-09-01,54.327309125250004,2,2026,keefamania,2026-09-02,
3200,Sterling Shepard,WR,,86.275,0.6000000000000001,2026-09-02,,,,,0.6000000000000001,1,2026,keefamania,2026-09-02,
9511,Keaton Mitchell,RB,131.6,101.57499999999999,87.9,2026-09-02,83.241127373,2026-09-03,76.68,2026-09-01,85.57056368650001,2,2026,keefamania,2026-09-02,
4033,David Njoku,TE,123.2,60.1375,46.5,2026-09-02,84.202453773,2026-09-03,86.36999999999999,2026-09-01,65.3512268865,2,2026,keefamania,2026-09-02,
9225,Tank Bigsby,RB,129.6,100.51249999999999,61.2,2026-09-02,62.026528148500006,2026-09-03,80.55000000000001,2026-09-01,61.613264074250004,2,2026,keefamania,2026-09-02,
13414,Kaelon Black,RB,130.0,93.81875,39.3,2026-09-02,56.0395231765,2026-09-03,83.42999999999999,2026-09-01,47.66976158825,2,2026,keefamania,2026-09-02,
8154,Brian Robinson Jr.,RB,118.1,93.2875,63.400000000000006,2026-09-02,89.150487649,2026-09-03,82.6,2026-09-01,76.27524382450001,2,2026,keefamania,2026-09-02,
4988,Nick Chubb,RB,,90.84375,,,,,,,,,2026,keefamania,2026-09-02,
12487,Terrance Ferguson,TE,127.0,50.46875,82.80000000000001,2026-09-02,112.57226272999999,2026-09-03,102.97999999999999,2026-09-01,97.686131365,2,2026,keefamania,2026-09-02,
12457,Jaydon Blue,RB,148.7,85.63749999999999,52.1,2026-09-02,,,,,52.1,1,2026,keefamania,2026-09-02,
8205,Isiah Pacheco,RB,125.2,70.44375,48.6,2026-09-02,66.51232422499999,2026-09-03,103.56999999999998,2026-09-01,57.556162112500004,2,2026,keefamania,2026-09-02,
