sleeper_id,name,pos,adp,model,sleeper,sleeper_as_of,espn,espn_as_of,sheet,sheet_as_of,mean,mean_n_sources,pair,league,model_built,actual
13330,Kenyon Sadiq,TE,157.9,117.725,100.2,2026-09-02,145.14586507,2026-09-03,124.82000000000001,2026-09-01,122.67293253499999,2,2026,omnibeta,2026-09-02,
7600,Pat Freiermuth,TE,177.3,117.61875,128.4,2026-09-02,136.08032103600002,2026-09-03,134.35999999999999,2026-09-01,132.240160518,2,2026,omnibeta,2026-09-02,
1373,Geno Smith,QB,174.7,244.05624999999998,222.48,2026-09-02,242.140044766,2026-09-03,233.584,2026-09-01,232.310022383,2,2026,omnibeta,2026-09-02,
13347,Demond Claiborne,RB,,100.9375,24.8,2026-09-02,16.802585990999997,2026-09-03,20.240000000000002,2026-09-01,20.8012929955,2,2026,omnibeta,2026-09-02,
4147,Samaje Perine,RB,155.8,100.40625,69.8,2026-09-02,99.585724232,2026-09-03,96.39000000000003,2026-09-01,84.692862116,2,2026,omnibeta,2026-09-02,
4988,Nick Chubb,RB,,99.6625,,,,,,,,,2026,omnibeta,2026-09-02,
13269,Fernando Mendoza,QB,167.1,240.97500000000002,210.16,2026-09-02,195.81003280800002,2026-09-03,191.58400000000003,2026-09-01,202.985016404,2,2026,omnibeta,2026-09-02,
12467,Jordan James,RB,154.8,97.85624999999999,59.7,2026-09-02,29.021880711,2026-09-03,75.94999999999999,2026-09-01,44.360940355500006,2,2026,omnibeta,2026-09-02,
12522,Cam Ward,QB,169.2,236.72500000000002,225.84,2026-09-02,228.98824340599998,2026-09-03,230.752,2026-09-01,227.41412170299998,2,2026,omnibeta,2026-09-02,
4017,Deshaun Watson,QB,165.2,236.5125,102.06,2026-09-02,81.63316154800002,2026-09-03,135.23,2026-09-01,91.84658077399999,2,2026,omnibeta,2026-09-02,
12457,Jaydon Blue,RB,163.3,93.60624999999999,56.6,2026-09-02,,,,,56.6,1,2026,omnibeta,2026-09-02,
6768,Tua Tagovailoa,QB,161.9,235.45,86.96000000000001,2026-09-02,121.79610461799997,2026-09-03,140.694,2026-09-01,104.378052309,2,2026,omnibeta,2026-09-02,
