sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_rank,curve_rank,blend_rank_lin,curve_rank_lin,blend_tail,curve_tail
8112,Drake London,WR,25.1,157.852556895193,195.55921113235655,188.01788028492388,204.62900000000002,230.8,17,2023->2024,186.65156839749065,193.85132127306508,190.90479524646668,199.1678548342851,190.90479524646662,199.16785483428504
9999,Will Levis,QB,160.8,223.08987948147583,250.9657714852165,235.63403088315914,246.80940000000004,131.94,12,2023->2024,238.28159960569175,256.849257535289,238.28159960569178,256.8492575352891,238.2815996056917,256.8492575352889
2749,Raheem Mostert,RB,68.0,244.99047605924014,164.1434309038454,216.694010254852,169.88099999999997,61.400000000000006,13,2023->2024,216.94109428756025,164.84938528301183,219.39595237158625,171.8632655230862,219.39595237158625,171.86326552308614
11620,Rome Odunze,WR,133.8,,138.91297682932617,138.91297682932617,152.32000000000002,117.9,17,2023->2024,141.50732342054275,141.50732342054275,135.23818368610634,135.23818368610634,135.23818368610645,135.23818368610645
7594,Chuba Hubbard,RB,121.3,151.1558106978086,144.83069302599012,148.94201951267212,160.59900000000002,220.10000000000002,15,2023->2024,147.86032463786773,141.74013624083472,142.1270104557751,125.35923857771296,142.1270104557751,125.35923857771294
9488,Jaxon Smith-Njigba,WR,94.7,115.35565093796944,150.61241720560972,143.56106395208167,147.016,203.0,17,2023->2024,144.52591016417455,151.81847497072584,144.40689802051136,151.66970979114683,144.40689802051145,151.66970979114691
4033,David Njoku,TE,102.9,150.90006024799075,126.0702464792829,142.20962542894299,142.664,116.5,11,2023->2024,142.15391410092442,125.91107125637268,142.1539141009244,125.91107125637262,142.15391410092442,125.91107125637268
8151,Kenneth Walker,RB,27.1,176.44246984476797,194.84224142295886,182.8823898971348,196.18,158.20000000000002,11,2023->2024,182.60488069521233,194.04935798889463,187.27304928995514,207.38698254530274,187.27304928995508,207.38698254530266
4082,Curtis Samuel,WR,112.8,128.4974122119035,144.69207819752532,141.45314500040098,131.206,48.2,14,2023->2024,142.73418574830538,146.29337913240585,140.27015635954527,143.21334239645574,140.27015635954538,143.21334239645583
10236,Dalton Kincaid,TE,67.0,112.6312693826767,143.2859214893711,123.36039762001974,164.22,78.80000000000001,13,2023->2024,122.91477453692721,142.0127126805353,122.9147745369272,142.01271268053526,122.91477453692721,142.0127126805353
4988,Nick Chubb,RB,57.8,137.5355126459058,169.56656019399725,151.94948404254694,,60.8,8,2023->2024,152.9935987999369,171.88681521041934,157.65917746200233,182.25476779278696,157.6591774620023,182.2547677927869
