sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_rank,curve_rank,blend_rank_lin,curve_rank_lin,blend_tail,curve_tail
6813,Jonathan Taylor,RB,9.8,217.6219197525176,258.99922370170526,236.24170652965208,245.88800000000003,244.7,14,2023->2024,237.90029904341048,262.6849848433906,237.46703240711693,261.7221700960717,237.46703240711702,261.7221700960718
7569,Nico Collins,WR,32.1,246.86128093141593,226.49593587345527,230.56900488504743,249.95100000000002,210.60000000000002,12,2023->2024,229.85186860911517,225.59951552853994,237.27106928484832,234.87351637320637,237.34834192502925,234.97010717343255
6790,D'Andre Swift,RB,56.5,209.16112546810174,186.00253936579927,195.26597380672027,186.473,214.5,17,2023->2024,197.83725388289784,190.28800615942856,206.22433169003745,204.26646917132788,206.22433169003745,204.26646917132788
7525,DeVonta Smith,WR,38.3,212.54807466421357,219.01482385441415,217.72147401637406,235.92600000000004,199.4,13,2023->2024,218.68326458250962,220.21706206208358,226.3507193047199,229.80138046484646,224.49600429950982,227.48298670833387
4199,Aaron Jones Sr.,RB,46.0,191.9263309546864,194.56947845586947,193.51221945539623,203.184,241.60000000000002,17,2023->2024,195.60928151206517,198.06458188365104,204.63832007640167,213.11297949087856,204.63832007640164,213.1129794908785
10229,Rashee Rice,WR,64.2,195.22863277007977,197.1318825265243,196.75123257523538,267.223,64.9,4,2023->2024,194.18496683257047,193.9240503481931,199.63852124863232,200.74099336827044,199.68966577657264,200.80492402819587
8134,Khalil Shakir,WR,117.4,104.87348028603286,171.56204055607503,158.2243285020666,167.858,182.5,15,2023->2024,159.07442793096035,172.6246648421922,156.53042333907737,169.44465910233848,156.5341444998329,169.44931055328288
3198,Derrick Henry,RB,15.9,208.73670756164444,238.83447795382193,226.79536979695095,227.01799999999997,336.40000000000003,17,2023->2024,230.92108636955186,245.71067224149013,234.63894230640696,251.9070988029153,234.63894230640696,251.90709880291533
7021,Rico Dowdle,RB,118.9,95.3653735264455,154.99968224874362,116.23738157924983,121.36299999999999,197.8,16,2023->2024,115.52816904434519,152.97336072044465,112.33663142749748,143.85468181516546,112.33663142749745,143.85468181516538
1373,Geno Smith,QB,159.8,259.95047619029526,263.0219932557982,261.02550716322133,278.1166,281.0,17,2023->2024,261.8163317354938,265.2814920337196,261.8163317354938,265.2814920337196,261.8163317354937,265.2814920337194
5872,Deebo Samuel Sr.,WR,23.0,212.78391580766186,240.6182671340269,235.0513968687539,225.539,155.60000000000002,15,2023->2024,230.6273646063137,235.08822680597666,237.18299761448998,243.28276806619698,237.2616020907196,243.38102366148402
9508,Tyjae Spears,RB,91.4,159.12848748618978,165.95995975505627,161.51950278029304,169.116,113.60000000000001,12,2023->2024,161.52661973170547,165.9802939019489,162.60165844071926,169.05183307055978,162.60165844071923,169.05183307055972
8137,George Pickens,WR,59.8,196.29626935983984,200.1395782894399,199.37091650351988,204.323,164.4,14,2023->2024,196.75792110793464,196.87333404495834,202.80782510491318,204.4357140411815,202.8632508116886,204.50499617465076
6130,Devin Singletary,RB,87.9,160.71479086943677,167.58692056582296,164.8380686872685,197.387,96.6,15,2023->2024,165.70912304821138,169.0386778340611,168.8317812613899,174.2431081893586,168.83178126138984,174.24310818935854
10859,Sam LaPorta,TE,29.4,212.6048787308547,210.30664312416533,211.80049626851343,248.574,174.6,16,2023->2024,210.0747005506473,205.37579821597637,210.0747005506473,205.37579821597646,210.0747005506473,205.37579821597646
4017,Deshaun Watson,QB,149.3,241.93844581443213,265.4229692664349,252.50648136783337,271.82320000000004,79.72,7,2023->2024,253.34266558339658,267.28115641213094,253.34266558339658,267.28115641213094,253.3426655833965,267.28115641213077
11584,Bucky Irving,RB,152.9,,144.520089134068,144.520089134068,79.373,244.4,17,2023->2024,141.7162405694894,141.7162405694894,117.15139633994532,117.15139633994532,117.15139633994518,117.15139633994518
7588,Javonte Williams,RB,77.5,195.77019811041143,172.83385128103092,187.74247672012825,181.73000000000002,157.9,17,2023->2024,188.7718977188892,175.77505413463362,191.9416655039662,184.83153352056792,191.9416655039662,184.8315335205679
5850,Josh Jacobs,RB,23.6,237.13668581957347,222.3785771885759,228.2818206409749,257.89000000000004,293.1,17,2023->2024,225.96633767519998,218.51943891228433,234.31547778393062,232.43467242683542,234.31547778393062,232.43467242683542
8129,Dameon Pierce,RB,151.4,120.73379746494517,144.9308858761095,129.20277840885268,73.338,43.5,10,2023->2024,128.40163888277067,142.64191580158953,120.31824529069333,119.54650553851137,120.3182452906933,119.54650553851128
3294,Dak Prescott,QB,69.8,302.40035041491024,292.28253110565004,298.85911365666914,302.5796,124.52,8,2023->2024,298.2455202679669,290.52940713792935,298.2455202679669,290.52940713792935,298.24552026796687,290.52940713792924
9493,Puka Nacua,WR,15.2,256.6039277186704,258.16512536332755,257.85288583439615,273.00300000000004,206.6,11,2023->2024,252.83480733767843,251.89252724243042,256.7975336686795,256.8459351561817,256.8737406229799,256.94119384905724
