player,sleeper_id,pos,team,bye,proj_pts,vorp,vorp_flex,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy,upside_flag,upside_why,alpha_used,proj_as_of,n_sources,proj_sd,proj_hi,proj_lo,proj_band,non_starter,contingent_of,backs_up_pos,starter_fragility,starter_fragility_label,yahoo_rank
Jaylen Warren,8228,RB,PIT,9,164.6,-7.6,-7.585882352941184,5,false,25,110,77.34,77.0,-33.0,fantasypros_sheet,,15.0,false,,,,0.112,0.151,1.12,26,true,true,RB receiving profile,0.0,2026-09-01,1,0.0,164.6,164.6,5.5,false,,,,"",69.0
Cleveland Browns,CLE,DEF,CLE,11,109.0,-8.0,-8.0,1,false,14,111,219.26,164.4,53.4,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",300.0
TreVeyon Henderson,12529,RB,NEP,11,164.0,-8.2,-8.16941176470587,5,false,26,112,70.96,66.3,-45.7,fantasypros_sheet,compromised,16.0,false,,,,0.126,0.139,0.73,24,true,false,,0.0,2026-09-01,1,0.0,164.0,164.0,7.3,false,,,,"",64.0
Courtland Sutton,5045,WR,DEN,10,155.2,-8.6,-16.94117647058826,8,false,29,113,83.3,105.2,-7.8,fantasypros_sheet,,15.3,false,,,,0.557,0.203,1.66,8,true,false,,0.0,2026-09-01,1,0.0,155.2,155.2,5.5,false,,Jaylen Waddle,0.31,low,100.0
Kyler Murray,5849,QB,MIN,6,274.4,-9.3,-9.306352941176442,2,false,16,114,112.82,112.6,-1.4,fantasypros_sheet,,12.0,false,,,,0.0,0.0,0.0,2,true,false,,0.0,2026-09-01,1,0.0,274.4,274.4,19.6,false,,,,"",115.0
Hunter Henry,3214,TE,NEP,11,117.7,-9.7,-54.48470588235294,2,false,16,115,164.67,127.2,12.2,fantasypros_sheet,,14.3,false,,,,0.369,0.166,1.46,10,true,false,,0.0,2026-09-01,1,0.0,117.7,117.7,5.6,false,,,,"",164.0
Alec Pierce,8142,WR,IND,13,154.0,-9.9,-18.164705882352933,8,false,30,116,100.32,96.2,-19.8,fantasypros_sheet,compromised,15.0,false,,,,0.548,0.173,2.06,4,true,false,,0.0,2026-09-01,1,0.0,154.0,154.0,17.6,false,,,,"",98.0
Detroit Lions,DET,DEF,DET,6,107.0,-10.0,-10.0,1,true,15,117,220.32,130.4,13.4,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",233.0
Marvin Harrison Jr.,11628,WR,ARI,14,153.5,-10.4,-18.654117647058825,8,false,31,118,68.6,78.7,-39.3,fantasypros_sheet,,13.5,false,,,,0.502,0.185,1.54,6,true,false,,0.0,2026-09-01,1,0.0,153.5,153.5,6.8,false,,,,"",68.0
DK Metcalf,5846,WR,PIT,9,153.5,-10.4,-18.654117647058825,8,false,32,119,78.91,86.2,-32.8,fantasypros_sheet,compromised,14.3,false,,,,0.596,0.21,1.8,8,true,false,,0.0,2026-09-01,1,0.0,153.5,153.5,6.7,false,,,,"",76.0
Mike Evans,2216,WR,SFO,8,153.5,-10.4,-18.6729411764706,8,false,33,120,56.16,69.1,-50.9,fantasypros_sheet,,12.0,false,,,,0.609,0.287,1.7,5,true,false,,0.0,2026-09-01,1,0.0,153.5,153.5,8.0,false,,,,"",60.0
Tony Pollard,5967,RB,TEN,9,161.7,-10.5,-10.456470588235305,5,false,27,121,84.99,86.1,-34.9,fantasypros_sheet,,15.7,false,,,,0.114,0.096,0.48,12,true,false,,0.0,2026-09-01,1,0.0,161.7,161.7,11.4,false,,,,"",82.0
Rhamondre Stevenson,7611,RB,NEP,11,161.1,-11.1,-11.105882352941194,5,false,28,122,77.27,79.0,-43.0,fantasypros_sheet,,12.7,false,TreVeyon Henderson,16.0,compromised,0.181,0.115,1.07,18,true,true,contingent volume,0.0,2026-09-01,1,0.0,161.1,161.1,11.2,false,,TreVeyon Henderson,0.73,moderate,62.0
Carnell Tate,13279,WR,TEN,9,152.6,-11.3,-19.617882352941194,8,false,34,123,68.27,81.5,-41.5,fantasypros_sheet,,16.0,true,,,,,,,,,true,rookie w/ market-backed capital,0.0,2026-09-01,1,0.0,152.6,152.6,16.8,false,,,,"",73.0
Juwan Johnson,7002,TE,NOS,8,115.9,-11.5,-56.31058823529412,2,false,17,124,134.2,124.9,0.9,fantasypros_sheet,,14.0,false,,,,0.374,0.19,1.66,1,true,false,,0.0,2026-09-01,1,0.0,115.9,115.9,13.6,false,,,,"",141.0
Harrison Butker,4227,K,KCC,5,124.5,-12.0,-12.0,2,true,18,125,242.72,129.1,4.1,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",275.0
Jared Goff,3163,QB,DET,6,270.9,-12.9,-12.854588235294102,2,false,17,126,106.4,113.8,-12.2,fantasypros_sheet,,16.0,false,,,,0.0,0.0,0.0,2,true,false,,0.0,2026-09-01,1,0.0,270.9,270.9,13.3,false,,,,"",118.0
Brenton Strange,9480,TE,JAC,7,114.4,-13.0,-57.79764705882356,2,false,18,127,159.0,129.2,2.2,fantasypros_sheet,,12.0,false,,,,0.32,0.169,1.52,3,true,false,,0.0,2026-09-01,1,0.0,114.4,114.4,15.7,false,,,,"",166.0
Tyler Shough,12545,QB,NOS,8,268.6,-15.2,-15.16799999999995,2,false,18,128,124.28,129.9,1.9,fantasypros_sheet,,12.0,false,,,,0.0,0.0,0.0,11,true,false,,0.0,2026-09-01,1,0.0,268.6,268.6,13.6,false,,,,"",138.0
J.K. Dobbins,6806,RB,DEN,10,156.7,-15.4,-15.43529411764709,5,false,29,129,100.48,95.3,-33.7,fantasypros_sheet,,12.0,false,,,,0.061,0.066,0.17,11,true,false,,0.0,2026-09-01,1,0.0,156.7,156.7,13.7,false,,,,"",85.0
De'Zhaun Stribling,13417,WR,SFO,8,147.6,-16.3,-24.618917647058822,9,false,35,130,132.96,109.5,-20.5,fantasypros_sheet,,16.0,true,,,,,,,,,true,rookie w/ market-backed capital,0.0,2026-09-01,1,0.0,147.6,147.6,6.0,false,,Mike Evans,0.31,low,94.0
Rico Dowdle,7021,RB,PIT,9,155.3,-16.9,-16.88470588235296,5,false,30,131,88.82,87.3,-43.7,fantasypros_sheet,,15.3,false,Jaylen Warren,15.0,,0.143,0.144,0.86,15,true,true,contingent volume,0.0,2026-09-01,1,0.0,155.3,155.3,15.5,false,,Jaylen Warren,0.75,high,81.0
Dallas Cowboys,DAL,DEF,DAL,14,99.0,-18.0,-18.0,2,false,19,132,249.34,140.6,8.6,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",223.0
Baker Mayfield,4892,QB,TBB,10,265.6,-18.2,-18.160941176470544,2,false,19,133,118.39,125.4,-7.6,fantasypros_sheet,,16.0,false,,,,0.0,0.0,0.0,1,true,false,,0.0,2026-09-01,1,0.0,265.6,265.6,18.3,false,,,,"",135.0
Dalton Schultz,5001,TE,HOU,8,109.0,-18.4,-63.14352941176472,2,false,19,134,163.71,126.6,-7.4,fantasypros_sheet,,15.3,false,,,,0.393,0.213,1.56,7,true,false,,0.0,2026-09-01,1,0.0,109.0,109.0,10.3,false,,,,"",149.0
Parker Washington,9487,WR,JAC,7,143.9,-20.0,-28.254117647058848,9,false,36,135,63.29,78.8,-56.2,fantasypros_sheet,,12.0,false,,,,0.469,0.235,2.1,7,true,false,,0.0,2026-09-01,1,0.0,143.9,143.9,12.1,false,,,,"",55.0
KC Concepcion,13298,WR,CLE,11,143.9,-20.0,-28.291764705882372,9,false,37,136,118.1,124.8,-11.2,fantasypros_sheet,,16.0,true,,,,,,,,,false,,0.0,2026-09-01,1,0.0,143.9,143.9,10.7,false,,,,"",99.0
Brian Thomas Jr.,11631,WR,JAC,7,143.3,-20.6,-28.87529411764706,9,false,38,137,80.0,84.6,-52.4,fantasypros_sheet,,14.5,false,,,,0.511,0.204,1.59,6,true,false,,0.0,2026-09-01,1,0.0,143.3,143.3,11.9,false,,Parker Washington,0.32,low,72.0
Nick Folk,650,K,ATL,11,114.0,-22.5,-22.5,3,false,25,138,253.64,127.8,-10.2,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",380.0
Michael Pittman Jr.,6819,WR,PIT,9,141.4,-22.5,-30.80470588235295,9,false,39,139,80.44,120.6,-18.4,fantasypros_sheet,compromised,15.3,false,,,,0.457,0.202,1.43,10,true,false,,0.0,2026-09-01,1,0.0,141.4,141.4,15.5,false,,DK Metcalf,0.32,low,104.0
Trey Smack,13545,K,GBP,11,112.5,-24.0,-24.0,3,false,26,140,258.2,129.1,-10.9,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",263.0
