sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_gt,lines_gt
8139,Zamir White,RB,64.8,93.33813612595146,165.75189725926154,136.7863928059375,155.737,26.3,8,2023->2024,129.77566898151102,147.7549992041042
7611,Rhamondre Stevenson,RB,61.9,160.70940011766106,167.27972095906998,164.6515926225064,151.674,159.4,15,2023->2024,158.72299689708564,146.21268733526873
4018,Joe Mixon,RB,28.4,237.78084678564088,193.27871287494997,211.07956643922634,210.44299999999998,222.5,14,2023->2024,203.4792426562409,202.865597010008
8228,Jaylen Warren,RB,82.5,158.08624544944138,157.69347548372872,157.94877596144192,144.31300000000002,105.10000000000001,15,2023->2024,149.8534148370142,136.91651438092356
9494,Marvin Mims Jr.,WR,167.7,71.19707205802773,131.268749472991,119.25441398999837,65.654,110.0,17,2023->2024,119.25441398999837,65.654
8136,Rachaad White,RB,29.1,206.36538648607586,192.46620486237254,198.02587751185388,209.40600000000003,174.1,15,2023->2024,190.89557678265828,201.86593617976243
11566,Jayden Daniels,QB,116.7,,265.4977405879663,265.4977405879663,299.5162,364.82,17,2023->2024,242.38850053534276,273.4459526595851
7021,Rico Dowdle,RB,114.0,85.76104881859112,146.90186580027793,107.16033476218149,112.183,178.3,16,2023->2024,95.31250337437055,99.77985408291704
11586,Blake Corum,RB,105.2,,149.58258672298334,149.58258672298334,105.85900000000001,30.0,15,2023->2024,133.04447800972125,94.15504642738664
9226,De'Von Achane,RB,21.9,217.71740102665717,201.9514558590674,210.6227257012418,206.142,260.90000000000003,17,2023->2024,211.5055394803746,207.00603305935815
8183,Brock Purdy,QB,61.7,285.0243467409704,294.3899984772291,290.6437377827256,296.5412,278.86,15,2023->2024,314.97984772518186,321.37111479783
6797,Justin Herbert,QB,103.6,285.41822104818436,270.8956007318785,280.3353039374773,286.4262,288.40000000000003,17,2023->2024,255.9345846712058,261.495321874626
11631,Brian Thomas Jr.,WR,142.9,,136.68572236632124,136.68572236632124,140.012,240.5,17,2023->2024,136.68572236632124,140.012
8110,Jake Ferguson,TE,94.3,129.75982063137937,129.57210044597664,129.6941185664884,145.707,74.9,14,2023->2024,131.74289284210258,148.00872930489422
1166,Kirk Cousins,QB,129.4,278.19891272851646,260.814675147291,267.76837017978113,265.3258,192.32,14,2023->2024,244.46149181885548,242.23152586126074
6806,J.K. Dobbins,RB,120.3,183.11616490640765,145.10692983668324,160.310623864573,76.245,175.8,13,2023->2024,142.58640486658842,67.81522133078995
10229,Rashee Rice,WR,94.6,193.88310514076701,149.36859248427217,158.27149501557113,,123.60000000000001,8,2024->2025,152.86057385922237,
7547,Amon-Ra St. Brown,WR,16.3,224.98115901835428,208.76912316149003,212.0115303328629,228.34400000000005,265.5,17,2024->2025,221.83819895314411,238.9276735195798
6801,Tee Higgins,WR,25.1,229.7362504309663,194.18653399910133,201.29647728547434,207.043,182.1,15,2024->2025,210.62650652307622,216.63937878163802
7543,Travis Etienne Jr.,RB,111.2,137.72169555131512,161.81567435603316,152.17808283414595,158.576,235.9,17,2024->2025,148.09193878591793,154.31806504297992
11635,Ladd McConkey,WR,26.4,188.79544701382054,192.48081210130294,191.7437390838065,215.18599999999998,147.9,16,2024->2025,200.6310018710332,225.15980430396368
