season,week,game_id,team,player_id,pos
2025,1,2025_01_PIT_NYJ,PIT,00-0035640,WR
2025,1,2025_01_PIT_NYJ,PIT,00-0036862,WR
2025,1,2025_01_PIT_NYJ,PIT,00-0036894,TE
2025,1,2025_01_PIT_NYJ,PIT,00-0036919,RB
2025,1,2025_01_PIT_NYJ,PIT,00-0037228,RB
2025,1,2025_01_PIT_NYJ,PIT,00-0037304,TE
2025,1,2025_01_PIT_NYJ,PIT,00-0037837,WR
2025,1,2025_01_PIT_NYJ,PIT,00-0038558,TE
2025,1,2025_01_PIT_NYJ,PIT,00-0039739,WR
2025,1,2025_01_PIT_NYJ,PIT,00-0040142,RB
2025,1,2025_01_SF_SEA,SEA,00-0033576,TE
2025,1,2025_01_SF_SEA,SEA,00-0033908,WR
2025,1,2025_01_SF_SEA,SEA,00-0034869,QB
2025,1,2025_01_SF_SEA,SEA,00-0038134,RB
2025,1,2025_01_SF_SEA,SEA,00-0038543,WR
2025,1,2025_01_SF_SEA,SEA,00-0039165,RB
2025,1,2025_01_SF_SEA,SEA,00-0039793,TE
2025,1,2025_01_SF_SEA,SEA,00-0040648,WR
2025,1,2025_01_SF_SEA,SEA,00-0040649,RB
2025,1,2025_01_SF_SEA,SEA,00-0040673,QB
2025,1,2025_01_SF_SEA,SEA,00-0040739,TE
2025,1,2025_01_SF_SEA,SF,00-0029892,RB
2025,1,2025_01_SF_SEA,SF,00-0033280,RB
2025,1,2025_01_SF_SEA,SF,00-0033288,TE
2025,1,2025_01_SF_SEA,SF,00-0034272,WR
2025,1,2025_01_SF_SEA,SF,00-0034411,WR
2025,1,2025_01_SF_SEA,SF,00-0036259,WR
2025,1,2025_01_SF_SEA,SF,00-0036887,TE
2025,1,2025_01_SF_SEA,SF,00-0037112,TE
2025,1,2025_01_SF_SEA,SF,00-0037746,RB
2025,1,2025_01_SF_SEA,SF,00-0037834,QB
2025,1,2025_01_SF_SEA,SF,00-0038090,WR
