team,posgrp,metric,n,value,league,var_play,k_eb,between_var
DET,TE,catch_rate,110,0.6727272727272727,0.7238480697384807,,3197.323600121806,0.00011932022655747202
DET,WR,ypt,310,8.116129032258064,7.8248111244935945,118.35540244284375,512.9979346061339,0.003362458988259805
DET,WR,catch_rate,310,0.5967741935483871,0.6188547027263769,,592.4406304935924,0.0010395778909722611
GB,ALL,ypt,513,6.853801169590644,7.319899395173364,67.89850603070181,423.2498391543696,0.00391817122363068
GB,ALL,catch_rate,513,0.7017543859649122,0.6717168692736092,,320.9784577564491,0.0015226021030540439
GB,OTHER,ypt,52,5.230769230769231,7.014322916666667,46.25942684766213,71.82482665639307,0.021704806539040153
GB,OTHER,catch_rate,52,0.6923076923076923,0.6796875,,111.42454609768586,0.004229448396432637
GB,RB,ypt,91,4.835164835164835,5.776709401709402,45.361416361416374,155.33379421101966,0.01217468644255527
GB,RB,catch_rate,91,0.8131868131868132,0.7795584045584045,,269.6993396752406,0.0010484917179406582
GB,TE,ypt,101,6.415841584158416,7.402552926525529,34.54534653465346,477.88573528846166,0.002517228048063173
GB,TE,catch_rate,101,0.7524752475247525,0.7238480697384807,,3197.323600121806,0.00011932022655747202
GB,WR,ypt,269,8.014869888475836,7.8248111244935945,89.46992731509732,512.9979346061339,0.003362458988259805
GB,WR,catch_rate,269,0.6468401486988847,0.6188547027263769,,592.4406304935924,0.0010395778909722611
HOU,ALL,ypt,512,6.767578125,7.319899395173364,98.04567866316056,423.2498391543696,0.00391817122363068
HOU,ALL,catch_rate,512,0.623046875,0.6717168692736092,,320.9784577564491,0.0015226021030540439
HOU,OTHER,ypt,57,5.859649122807017,7.014322916666667,48.94423558897241,71.82482665639307,0.021704806539040153
HOU,OTHER,catch_rate,57,0.6666666666666666,0.6796875,,111.42454609768586,0.004229448396432637
HOU,RB,ypt,87,5.977011494252873,5.776709401709402,89.37155840684308,155.33379421101966,0.01217468644255527
HOU,RB,catch_rate,87,0.7816091954022989,0.7795584045584045,,269.6993396752406,0.0010484917179406582
HOU,TE,ypt,92,6.293478260869565,7.402552926525529,55.41841853798374,477.88573528846166,0.002517228048063173
HOU,TE,catch_rate,92,0.6956521739130435,0.7238480697384807,,3197.323600121806,0.00011932022655747202
HOU,WR,ypt,275,7.425454545454546,7.8248111244935945,124.48621101526209,512.9979346061339,0.003362458988259805
HOU,WR,catch_rate,275,0.5381818181818182,0.6188547027263769,,592.4406304935924,0.0010395778909722611
IND,ALL,ypt,601,7.424292845257903,7.319899395173364,87.98800887409871,423.2498391543696,0.00391817122363068
IND,ALL,catch_rate,601,0.6605657237936772,0.6717168692736092,,320.9784577564491,0.0015226021030540439
IND,OTHER,ypt,59,6.88135593220339,7.014322916666667,56.62361192285214,71.82482665639307,0.021704806539040153
IND,OTHER,catch_rate,59,0.7627118644067796,0.6796875,,111.42454609768586,0.004229448396432637
IND,RB,ypt,82,4.390243902439025,5.776709401709402,40.438422161999405,155.33379421101966,0.01217468644255527
IND,RB,catch_rate,82,0.7073170731707317,0.7795584045584045,,269.6993396752406,0.0010484917179406582
IND,TE,ypt,114,8.710526315789474,7.402552926525529,81.44643688868184,477.88573528846166,0.002517228048063173
IND,TE,catch_rate,114,0.6842105263157895,0.7238480697384807,,3197.323600121806,0.00011932022655747202
IND,WR,ypt,346,7.812138728323699,7.8248111244935945,104.39648990533631,512.9979346061339,0.003362458988259805
IND,WR,catch_rate,346,0.6242774566473989,0.6188547027263769,,592.4406304935924,0.0010395778909722611
