gsis_id,target_share,catch_rate,ypt,rush_share,ypc,i10_target_share,i10_carry_share,targets_n,team_targets_n,carries_n,team_carries_n,i10_targets_n,i10_carries_n,n_games,team_prior,full_name,snap_pct_25
00-0035631,0.05379,0.90909,4.95455,0.00392,-4.0,0.02083,0.02941,22.0,409,1.0,255,48.0,34.0,17,CIN,Drew Sample,0.57176
00-0035639,0.08333,0.75,3.75,0.0,,0.5,0.0,8.0,96,0.0,117,2.0,20.0,10,PHI,Parris Campbell,0.45
00-0035640,0.21331,0.6055,9.10092,0.0,,0.22222,0.0,109.0,511,0.0,322,27.0,26.0,15,SEA,DK Metcalf,0.86
00-0035644,0.13361,0.75,7.8125,0.0,,0.03846,0.0,64.0,479,0.0,292,26.0,30.0,14,SEA,Noah Fant,0.63286
00-0035659,0.23228,0.69492,9.28814,0.00388,1.0,0.25,0.0,118.0,508,2.0,515,36.0,67.0,20,WAS,Terry McLaurin,0.80471
00-0035662,0.1875,0.6,6.06667,0.0,,0.0,0.0,15.0,80,0.0,46,4.0,3.0,6,KC,Marquise Brown,0.335
00-0035676,0.34155,0.69072,11.12371,0.0,,0.30769,0.0,97.0,284,0.0,497,13.0,57.0,17,PHI,A.J. Brown,0.86615
00-0035685,0.08941,0.94737,8.97368,0.43765,4.16667,0.0,0.64151,38.0,425,186.0,425,33.0,53.0,15,DET,David Montgomery,0.41857
00-0035689,0.07895,0.66667,9.42424,0.0,,0.07407,0.0,33.0,418,0.0,387,27.0,50.0,20,BUF,Dawson Knox,0.60062
00-0035700,0.09188,0.83721,7.95349,0.58607,4.38614,0.10345,0.72414,43.0,468,303.0,517,29.0,58.0,18,GB,Josh Jacobs,0.63412
00-0035704,0.0,,,0.11111,9.85714,0.0,0.33333,0.0,193,14.0,126,7.0,6.0,16,NYG,Drew Lock,0.6525
00-0035710,0.0,,,0.22642,4.56667,0.0,0.26316,0.0,328,60.0,265,18.0,19.0,10,NYG,Daniel Jones,0.979
00-0035719,0.19756,0.62963,8.2716,0.11507,3.2381,0.16667,0.11628,81.0,410,42.0,365,30.0,43.0,15,SF,Deebo Samuel Sr.,0.73133
00-0035795,0.03846,0.0,0.0,0.0,,0.0,0.0,1.0,26,0.0,40,2.0,4.0,16,PIT,James Pierre,0.0
00-0035806,0.04211,0.83333,4.91667,0.09091,3.45,0.0,0.0,12.0,285,20.0,220,16.0,12.0,15,NE,JaMycal Hasty,0.112
00-0035860,0.0,,,0.14286,13.75,0.0,0.0,0.0,32,4.0,28,2.0,3.0,1,ARI,Tony Jones,0.08
00-0035891,0.08824,0.66667,14.66667,0.0,,0.0,0.0,3.0,34,0.0,32,2.0,1.0,4,SEA,Cody White,0.2175
00-0035924,0.0,,,0.08475,4.4,0.0,0.0,0.0,50,5.0,59,3.0,8.0,4,PIT,Jonathan Ward,0.04
00-0035973,0.07006,0.27273,2.27273,0.27397,4.575,0.0,0.27273,11.0,157,40.0,146,10.0,22.0,13,SF,Patrick Taylor,0.19615
00-0035976,0.04598,0.75,9.25,0.0,,0.0,0.0,4.0,87,0.0,69,5.0,9.0,6,CAR,Dan Chisena,0.04833
00-0035993,0.0,,,0.15625,5.44,0.0,0.125,0.0,137,25.0,160,10.0,8.0,8,MIA,Tyler Huntley,0.934
00-0036037,0.02857,0.0,0.0,0.0,,0.0,,1.0,35,0.0,20,1.0,0.0,10,CAR,Sam Franklin Jr.,0.0
00-0036040,0.14108,0.73529,8.05882,0.0,,0.23529,0.0,68.0,482,0.0,371,17.0,27.0,17,NO,Juwan Johnson,0.64176
00-0036096,0.02703,0.66667,0.0,0.13333,4.4,0.0,0.16667,3.0,111,10.0,75,11.0,6.0,5,HOU,J.J. Taylor,0.09
00-0036133,0.04348,1.0,7.0,0.0,,0.0,0.0,3.0,69,0.0,47,1.0,3.0,9,CLE,James Proche,0.02667
00-0036139,0.08503,0.78,4.98,0.58458,4.59149,0.10714,0.41667,50.0,588,235.0,402,28.0,24.0,16,DAL,Rico Dowdle,0.575
00-0036158,0.1008,0.84211,3.76316,0.52846,4.64103,0.0,0.41463,38.0,377,195.0,369,21.0,41.0,14,LAC,J.K. Dobbins,0.63385
00-0036165,0.02941,1.0,6.0,0.0,,0.0,0.0,2.0,68,0.0,63,1.0,4.0,3,NYG,Isaiah Hodgins,0.28333
00-0036176,0.02817,1.0,8.5,0.0,,0.0,0.0,2.0,71,0.0,48,2.0,7.0,6,TEN,Mason Kinsey,0.18667
00-0036182,0.14851,0.53333,8.28333,0.0,,0.33333,0.0,60.0,404,0.0,343,21.0,16.0,17,TEN,Nick Westbrook-Ikhine,0.69941
00-0036183,0.07895,0.66667,6.0,0.0,,0.66667,0.0,3.0,38,0.0,19,3.0,4.0,3,LV,Kristian Wilkerson,0.22
00-0036187,0.0,,,0.04615,2.33333,0.0,0.1,0.0,58,3.0,65,3.0,10.0,18,BUF,Reggie Gilliam,0.14333
00-0036196,0.16031,0.47619,5.85714,0.0,,0.2381,0.0,42.0,262,0.0,203,21.0,25.0,10,JAX,Gabe Davis,
00-0036212,0.0,,,0.0625,4.90909,0.0,0.0,0.0,263,11.0,176,16.0,23.0,11,MIA,Tua Tagovailoa,0.97182
00-0036223,0.07928,0.58065,4.3871,0.75123,4.6918,0.05,0.71739,31.0,391,305.0,406,20.0,46.0,14,IND,Jonathan Taylor,0.80286
00-0036232,0.07273,0.75,7.16667,0.0,,0.0,0.0,12.0,165,0.0,112,8.0,13.0,13,LV,Harrison Bryant,0.25462
00-0036244,0.10699,0.61224,6.0,0.0,,0.08333,0.0,49.0,458,0.0,394,36.0,41.0,19,LA,Colby Parkinson,0.54882
00-0036251,0.1063,0.85185,6.92593,0.43023,3.27027,0.04348,0.64706,27.0,254,74.0,172,23.0,17.0,8,CIN,Zack Moss,0.6175
00-0036252,0.24401,0.61607,7.21429,0.0,,0.27778,0.0,112.0,459,0.0,467,18.0,56.0,16,IND,Michael Pittman,0.88062
00-0036254,0.03226,0.5,3.0,0.0,,0.0,0.0,2.0,62,0.0,38,4.0,4.0,9,CHI,Collin Johnson,0.05444
00-0036259,0.24726,0.68142,8.62832,0.0,,0.24242,0.0,113.0,457,0.0,391,33.0,44.0,15,SF,Jauan Jennings,0.744
00-0036261,0.2217,0.53191,7.85106,0.0,,0.09524,0.0,47.0,212,0.0,210,21.0,28.0,7,SF,Brandon Aiyuk,0.76143
00-0036264,0.0,,,0.06186,5.0,0.0,0.09756,0.0,290,18.0,291,19.0,41.0,16,GB,Jordan Love,0.91733
00-0036268,0.02732,1.0,7.2,0.00962,1.0,0.0,0.0,5.0,183,1.0,104,8.0,14.0,12,SEA,Laviska Shenault Jr.,0.06364
00-0036275,0.09888,0.79245,7.28302,0.60382,3.79051,0.02941,0.54545,53.0,536,253.0,419,34.0,33.0,17,CHI,D'Andre Swift,0.66824
00-0036290,0.12447,0.79661,8.0339,0.0,,0.26471,0.0,59.0,474,0.0,374,34.0,33.0,17,CHI,Cole Kmet,0.87235
00-0036297,0.0,,,0.14286,1.0,0.0,0.0,0.0,25,3.0,21,2.0,3.0,5,CHI,Darrynton Evans,0.016
00-0036309,0.21074,0.60377,9.35849,0.0,,0.1,0.0,106.0,503,0.0,446,20.0,44.0,16,ATL,Darnell Mooney,0.9275
00-0036322,0.2973,0.66883,9.95455,0.00231,3.0,0.28889,0.0,154.0,518,1.0,432,45.0,36.0,18,MIN,Justin Jefferson,0.93176
00-0036328,0.05754,0.7931,7.06897,0.27397,4.48333,0.0,0.17241,29.0,504,120.0,438,28.0,29.0,17,NE,Antonio Gibson,0.33294
00-0036329,0.0,,,0.04545,21.0,0.0,0.0,0.0,29,1.0,22,3.0,1.0,15,NYJ,Ashtyn Davis,0.0
00-0036331,0.04908,0.6875,4.9375,0.01695,0.75,0.0,0.0,16.0,326,4.0,236,18.0,14.0,13,JAX,Devin Duvernay,0.22154
00-0036332,0.02655,1.0,4.66667,0.0,,0.2,0.0,3.0,113,0.0,61,5.0,5.0,15,JAX,Josiah Deguara,0.08667
00-0036345,0.10651,0.38889,3.16667,0.0,,0.08333,0.0,18.0,169,0.0,176,12.0,14.0,9,NE,K.J. Osborn,0.53286
00-0036355,0.0,,,0.11316,6.95918,0.0,0.10417,0.0,462,49.0,433,24.0,48.0,18,LAC,Justin Herbert,0.97706
00-0036358,0.27353,0.65584,7.75325,0.03989,5.0,0.2,0.0,154.0,563,14.0,351,25.0,19.0,15,DAL,CeeDee Lamb,0.802
00-0036360,0.06849,0.6,4.8,0.40625,3.53846,0.0,0.0,5.0,73,13.0,32,1.0,2.0,2,NO,Clyde Edwards-Helaire,0.35
00-0036370,0.0,,,0.03125,2.0,0.0,,0.0,27,1.0,32,1.0,0.0,5,TEN,Joshua Kelley,0.02
00-0036387,0.05742,0.58333,8.33333,0.01695,-1.0,0.0,0.0,12.0,209,3.0,177,7.0,21.0,8,LAC,Jalen Reagor,0.2825
00-0036389,0.0,,,0.2444,4.9542,0.0,0.42188,0.0,360,131.0,536,22.0,64.0,19,PHI,Jalen Hurts,0.916
00-0036407,0.23089,0.60811,8.30405,0.0,,0.23529,0.0,148.0,641,0.0,387,34.0,32.0,17,CLE,Jerry Jeudy,0.89706
00-0036410,0.25057,0.66364,8.28182,0.0,,0.33333,0.0,110.0,439,0.0,266,45.0,30.0,12,CIN,Tee Higgins,0.79083
00-0036414,0.03442,0.77778,3.77778,0.27882,4.26923,0.09756,0.14815,18.0,523,104.0,373,41.0,27.0,18,MIN,Cam Akers,0.22333
00-0036415,0.09828,0.6,6.9,0.0,,0.29167,0.0,40.0,407,0.0,457,24.0,41.0,18,PIT,Van Jefferson,0.64706
00-0036422,0.05116,0.59091,8.54545,0.0,,0.04545,0.0,22.0,430,0.0,336,22.0,27.0,18,DEN,Adam Trautman,0.51824
00-0036425,0.01667,1.0,3.66667,0.05143,5.44444,0.08333,0.0,3.0,180,9.0,175,12.0,17.0,17,ARI,DeeJay Dallas,0.04588
00-0036427,0.11111,0.63415,7.09756,0.0,,0.16129,0.0,41.0,369,0.0,257,31.0,23.0,15,LA,Tyler Johnson,0.37667
00-0036429,0.05,0.58333,3.83333,0.0,,0.0,0.0,12.0,240,0.0,249,8.0,26.0,16,ATL,Charlie Woerner,0.42438
00-0036438,0.02439,0.0,0.0,0.0,,0.0,0.0,1.0,41,0.0,21,2.0,3.0,1,CAR,Stephen Sullivan,0.11
00-0036442,0.0,,,0.10954,6.83871,0.0,0.07692,0.0,482,31.0,283,55.0,39.0,17,CIN,Joe Burrow,0.99529
00-0036450,0.0,,,0.06061,2.0,0.0,0.0,0.0,26,2.0,33,1.0,6.0,3,SF,Ke'Shawn Vaughn,0.01667
00-0036463,0.03279,0.5,8.5,0.0,,0.0,0.0,2.0,61,0.0,59,3.0,9.0,6,ATL,Chris Blair,0.1
00-0036497,0.06024,0.6,8.2,0.0,,0.0,0.0,5.0,83,0.0,72,4.0,6.0,17,JAX,Tim Jones,0.16412
00-0036510,0.03941,0.625,5.875,0.0,,0.0,0.0,8.0,203,0.0,121,16.0,4.0,9,NYJ,Kenny Yeboah,0.19
00-0036527,0.08357,0.55172,5.44828,0.02304,6.6,0.0,0.0,29.0,347,5.0,217,20.0,20.0,12,LV,DJ Turner,0.43833
00-0036534,0.03226,1.0,22.0,0.0,,0.0,0.0,1.0,31,0.0,41,2.0,5.0,13,DET,Shane Zylstra,0.13583
00-0036550,0.17021,0.625,10.5,0.0,,0.09677,0.0,72.0,423,0.0,509,31.0,45.0,19,BAL,Rashod Bateman,0.69
00-0036554,0.2475,0.68687,10.16162,0.0,,0.36,0.0,99.0,400,0.0,270,25.0,30.0,14,HOU,Nico Collins,0.6625
00-0036555,0.11688,0.7963,3.16667,0.69722,4.76096,0.09375,0.71795,54.0,462,251.0,360,32.0,39.0,15,CAR,Chuba Hubbard,0.77333
00-0036556,0.04615,0.66667,2.33333,0.0,,0.0,0.0,3.0,65,0.0,60,4.0,7.0,2,HOU,Brevin Jordan,0.475
00-0036590,0.05298,0.625,4.5,0.0,,0.1,0.0,8.0,151,0.0,148,10.0,19.0,19,BUF,Quintin Morris,0.2025
00-0036613,0.16409,0.68235,9.02353,0.01036,3.0,0.11628,0.02778,85.0,518,4.0,386,43.0,36.0,15,MIA,Jaylen Waddle,0.78667
00-0036620,0.03226,1.0,14.66667,0.0,,0.0,0.0,3.0,93,0.0,69,7.0,8.0,6,MIA,D'Wayne Eskridge,0.09833
00-0036626,0.08929,0.75,7.7,0.00665,8.66667,0.0625,0.0,40.0,448,3.0,451,32.0,55.0,19,WAS,Dyami Brown,0.43125
00-0036628,0.04075,0.61538,6.46154,0.0,,0.0,0.0,13.0,319,0.0,297,21.0,33.0,20,WAS,John Bates,0.43941
00-0036630,0.05195,0.91667,16.08333,0.0,,0.0,0.0,12.0,231,0.0,251,13.0,19.0,19,BAL,Tylan Wallace,0.24765
00-0036637,0.08909,0.81633,8.91837,0.00253,-4.0,0.09091,0.0,49.0,550,1.0,396,44.0,34.0,20,KC,Noah Gray,0.56353
00-0036640,0.03571,0.5,2.5,0.0,,0.33333,0.0,2.0,56,0.0,64,3.0,6.0,3,BUF,Zach Davidson,0.22667
00-0036646,0.11189,0.375,6.625,0.0,,0.14286,0.0,16.0,143,0.0,126,7.0,8.0,9,LAC,Simi Fehoko,0.485
00-0036670,0.01515,1.0,10.0,0.09836,3.66667,0.0,0.25,1.0,66,6.0,61,8.0,12.0,2,DET,Jermar Jefferson,0.09
00-0036727,0.03448,0.0,0.0,0.0,,0.0,0.0,4.0,116,0.0,111,3.0,6.0,17,NO,Adam Prentice,0.24941
00-0036741,0.0625,0.66667,3.33333,0.0,,0.0,0.0,3.0,48,0.0,58,1.0,12.0,11,PHI,Jack Stoll,0.44
00-0036754,0.05948,0.8125,6.25,0.0,,0.11538,0.0,16.0,269,0.0,325,26.0,46.0,18,DET,Brock Wright,0.50941
00-0036825,0.02586,0.33333,4.0,0.0,,0.0,0.0,3.0,116,0.0,78,6.0,11.0,16,CAR,Feleipe Franks,0.04438
00-0036841,0.09375,0.66667,13.33333,0.0,,0.0,0.0,3.0,32,0.0,17,3.0,3.0,1,JAX,Austin Trammell,0.61
00-0036849,0.13248,0.67742,9.06452,0.00765,2.33333,0.02778,0.02632,62.0,468,3.0,392,36.0,38.0,19,LA,Tutu Atwell,0.39
00-0036862,0.04348,1.0,13.8,0.0,,0.0,0.0,5.0,115,0.0,97,5.0,7.0,11,PIT,Ben Skowronek,0.156
00-0036875,0.09663,0.76744,3.81395,0.53766,3.86957,0.18519,0.69231,43.0,445,207.0,385,27.0,26.0,16,NE,Rhamondre Stevenson,0.61533
00-0036876,0.07561,0.45161,5.87097,0.0,,0.09091,0.0,31.0,410,0.0,389,22.0,46.0,17,IND,Kylen Granson,0.40529
00-0036877,0.04348,1.0,6.0,0.0,,0.0,0.0,1.0,23,0.0,25,2.0,1.0,12,CLE,Jaelon Darden,0.04429
00-0036887,0.05183,0.70588,3.94118,0.0,,0.05,0.0,17.0,328,0.0,214,20.0,23.0,17,JAX,Luke Farrell,0.37647
00-0036893,0.1039,0.75,5.89583,0.50674,3.96578,0.0,0.53061,48.0,462,263.0,519,27.0,49.0,18,PIT,Najee Harris,0.5
00-0036894,0.16883,0.83333,8.39744,0.0,,0.14815,0.0,78.0,462,0.0,519,27.0,49.0,18,PIT,Pat Freiermuth,0.69294
00-0036898,0.0,,,0.07143,6.0,0.0,0.2,0.0,28,2.0,28,4.0,5.0,19,HOU,Davis Mills,0.2975
00-0036900,0.27778,0.72571,9.76,0.00815,10.66667,0.25373,0.0,175.0,630,3.0,368,67.0,45.0,17,CIN,Ja'Marr Chase,0.92294
00-0036906,0.03715,0.83333,2.08333,0.20571,3.61111,0.06061,0.26316,12.0,323,36.0,175,33.0,19.0,14,CIN,Khalil Herbert,0.1875
00-0036912,0.28754,0.75556,9.25556,0.00207,1.0,0.35294,0.0,90.0,313,1.0,483,17.0,54.0,17,PHI,DeVonta Smith,0.88538
00-0036913,0.00962,0.0,0.0,0.04651,-2.0,0.0,0.0,1.0,104,2.0,43,10.0,1.0,3,CLE,Kadarius Toney,0.07333
00-0036919,0.05473,0.72727,5.27273,0.13181,3.86667,0.0,0.12121,22.0,402,75.0,569,23.0,66.0,21,PHI,Kenneth Gainwell,0.26
00-0036924,0.10377,1.0,5.18182,0.44304,3.74286,0.0,0.6,11.0,106,35.0,79,7.0,5.0,3,ARI,Michael Carter,0.61667
00-0036945,0.0,,,0.19205,5.05172,0.0,0.33333,0.0,268,58.0,302,15.0,27.0,15,PIT,Justin Fields,0.616
00-0036955,0.03429,0.5,6.83333,0.0,,0.0,0.0,6.0,175,0.0,131,7.0,11.0,7,LV,Terrace Marshall Jr.,0.29286
00-0036963,0.2696,0.8156,8.95745,0.00387,3.0,0.35714,0.0,141.0,523,2.0,517,42.0,66.0,18,DET,Amon-Ra St. Brown,0.88294
00-0036970,0.13704,0.63514,8.13514,0.0,,0.2,0.0,74.0,540,0.0,484,20.0,51.0,17,ATL,Kyle Pitts,0.62
00-0036971,0.0,,,0.09871,5.30435,0.0,0.14815,0.0,319,23.0,233,27.0,27.0,10,JAX,Trevor Lawrence,0.902
00-0036972,0.0,,,0.13483,4.04167,0.0,0.18182,0.0,219,24.0,178,13.0,11.0,17,JAX,Mac Jones,0.798
00-0036973,0.10879,0.75,4.88462,0.43478,3.72,0.0625,0.35714,52.0,478,150.0,345,32.0,28.0,15,JAX,Travis Etienne,0.53933
00-0036980,0.15913,0.59804,5.27451,0.00258,1.0,0.05882,0.0,102.0,641,1.0,387,34.0,32.0,17,CLE,Elijah Moore,0.75706
00-0036984,0.0446,0.84211,5.21053,0.13592,2.83929,0.0,0.15217,19.0,426,56.0,412,19.0,46.0,17,IND,Trey Sermon,0.22059
00-0036988,0.15262,0.58209,8.58209,0.0,,0.2,0.0,67.0,439,0.0,390,20.0,36.0,15,LAC,Josh Palmer,0.66
00-0036990,0.02174,1.0,34.0,0.0,,0.0,0.0,1.0,46,0.0,16,4.0,1.0,14,LV,Divine Deablo,0.0
00-0036997,0.12727,0.74286,4.94286,0.31306,3.69065,0.03226,0.39394,70.0,550,139.0,444,31.0,33.0,18,DEN,Javonte Williams,0.52176
00-0037004,0.04054,0.77778,6.66667,0.0,,0.0,0.0,9.0,222,0.0,215,17.0,23.0,19,LA,Hunter Long,0.26235
00-0037005,0.09846,0.71875,7.3125,0.0,,0.05,0.0,32.0,325,0.0,242,20.0,27.0,12,CAR,Tommy Tremble,0.6725
00-0037012,0.0,,,0.09091,3.72727,0.0,0.09091,0.0,123,11.0,121,8.0,11.0,9,DAL,Trey Lance,0.3325
00-0037077,0.0,,,0.0625,2.0,,,0.0,31,1.0,16,0.0,0.0,17,SEA,Sam Howell,0.215
00-0037085,0.03261,1.0,-0.66667,0.14667,7.81818,0.0,0.0,3.0,92,11.0,75,3.0,6.0,4,DEN,Tyler Badie,0.10667
00-0037086,0.09494,0.8,9.93333,0.0,,0.04762,0.0,30.0,316,0.0,468,21.0,57.0,21,PHI,Grant Calcaterra,0.66
00-0037091,0.05199,0.47059,5.35294,0.02279,6.75,0.0,0.0,17.0,327,8.0,351,21.0,29.0,18,GB,Bo Melton,0.22824
00-0037093,0.03846,0.0,0.0,0.0,,0.0,0.0,1.0,26,0.0,30,2.0,1.0,14,SEA,Dareke Young,0.03071
00-0037120,0.05245,0.73333,4.06667,0.12121,4.78125,0.09091,0.15385,15.0,286,32.0,264,11.0,26.0,17,IND,Tyler Goodson,0.12625
00-0037132,0.09756,0.875,4.25,0.0,,0.22222,0.0,8.0,82,0.0,91,9.0,7.0,5,PHI,Britain Covey,0.144
00-0037156,0.025,0.0,0.0,0.0,,0.33333,0.0,1.0,40,0.0,15,3.0,1.0,13,NYJ,Irvin Charles,0.01308
00-0037197,0.064,0.75,4.9375,0.49405,3.73494,0.05882,0.41667,16.0,250,83.0,168,17.0,12.0,10,KC,Isiah Pacheco,0.47571
00-0037207,0.03226,1.0,5.0,0.0,,0.0,0.0,1.0,31,0.0,17,4.0,2.0,20,KC,Mike Caliendo,0.20059
00-0037216,0.025,0.0,0.0,0.0,,0.125,0.0,1.0,40,0.0,19,8.0,2.0,2,KC,Justyn Ross,0.09
00-0037228,0.11634,0.80851,6.59574,0.25918,4.25833,0.04545,0.13333,47.0,404,120.0,463,22.0,45.0,16,PIT,Jaylen Warren,0.44933
00-0037231,0.08943,0.5,6.86364,0.00546,9.0,0.0,0.0,22.0,246,1.0,183,9.0,10.0,8,NO,Kevin Austin Jr.,0.665
00-0037238,0.29444,0.62893,7.99371,0.00207,-3.0,0.55,0.0,159.0,540,1.0,484,20.0,51.0,17,ATL,Drake London,0.89706
00-0037239,0.18644,0.72727,9.09091,0.00431,7.0,0.11111,0.0,44.0,236,1.0,232,9.0,21.0,8,NO,Chris Olave,0.6175
00-0037240,0.18763,0.63736,10.45055,0.02371,5.54545,0.08333,0.01754,91.0,485,11.0,464,36.0,57.0,16,DET,Jameson Williams,0.79533
00-0037243,0.01923,1.0,0.0,0.0,,0.0,0.0,1.0,52,0.0,16,2.0,1.0,16,DAL,Tyler Smith,0.95562
00-0037247,0.26343,0.57282,8.73786,0.00449,-3.0,0.30435,0.0,103.0,391,2.0,445,23.0,44.0,15,PIT,George Pickens,0.80214
00-0037248,0.08034,0.84211,6.78947,0.46939,4.8744,0.03846,0.51786,38.0,473,207.0,441,26.0,56.0,19,BUF,James Cook,0.47688
00-0037252,0.12,0.41667,2.33333,0.0,,0.0,0.0,12.0,100,0.0,73,3.0,2.0,9,NYG,Greg Dulcich,0.092
00-0037253,0.01667,1.0,18.0,0.01852,5.0,0.0,0.0,1.0,60,1.0,54,4.0,7.0,14,NE,Marcus Jones,0.00571
00-0037256,0.11469,0.89474,6.89474,0.35468,4.25694,0.13953,0.34211,57.0,497,144.0,406,43.0,38.0,17,TB,Rachaad White,0.56625
00-0037257,0.09091,1.0,9.0,0.0,,,0.0,3.0,33,0.0,29,0.0,2.0,1,CLE,David Bell,0.13
00-0037258,0.01434,0.5,0.5,0.16878,7.325,0.0,0.03571,4.0,279,40.0,237,20.0,28.0,13,HOU,Dameon Pierce,0.16364
00-0037261,0.22936,0.76,8.21,0.00488,2.0,0.07407,0.0,100.0,436,2.0,410,27.0,51.0,19,BUF,Khalil Shakir,0.61333
00-0037263,0.02407,1.0,6.76923,0.28512,4.66667,0.0,0.27451,13.0,540,138.0,484,20.0,51.0,17,ATL,Tyler Allgeier,0.24941
00-0037267,0.08317,0.86047,5.23256,0.31902,5.43269,0.0,0.25,43.0,517,104.0,326,26.0,28.0,14,CLE,Jerome Ford,0.54
00-0037276,0.02007,1.0,7.0,0.21456,3.25,0.0,0.10526,6.0,299,56.0,261,21.0,19.0,18,MIN,Ty Chandler,0.13941
00-0037287,0.02703,1.0,4.0,0.0,,0.33333,0.0,1.0,37,0.0,30,3.0,3.0,14,NE,Vederian Lowe,0.87714
00-0037291,0.09091,0.66667,9.85714,0.00783,-1.33333,0.11628,0.0303,42.0,462,3.0,383,43.0,33.0,18,MIN,Jalen Nailor,0.52
00-0037292,0.04308,0.64286,7.78571,0.0,,0.0,0.0,14.0,325,0.0,328,19.0,40.0,17,IND,Andrew Ogletree,0.40235
00-0037300,0.08458,0.41176,3.82353,0.0,,0.1,0.0,17.0,201,0.0,120,10.0,10.0,5,CLE,Mike Woods,
00-0037304,0.06338,0.66667,4.44444,0.0,,0.2,0.0,9.0,142,0.0,143,5.0,11.0,18,PIT,Connor Heyward,0.18118
00-0037306,0.04545,1.0,2.0,0.0,,0.0,0.0,1.0,22,0.0,42,1.0,8.0,11,GB,John FitzPatrick,0.12667
00-0037324,0.0,,,0.09091,5.0,,,0.0,17,1.0,11,0.0,0.0,1,KC,Chris Oladokun,0.15
00-0037327,0.0,,,0.02941,4.0,0.0,0.0,0.0,37,1.0,34,2.0,3.0,11,MIA,Skylar Thompson,0.29333
00-0037348,0.07547,0.75,4.0,0.0,,0.0,0.0,4.0,53,0.0,48,4.0,5.0,8,MIA,Tanner Conner,0.04875
00-0037382,0.03846,1.0,9.0,0.0,,0.0,0.0,1.0,26,0.0,26,1.0,1.0,3,PIT,Brandon Johnson,0.1
00-0037422,0.02703,1.0,9.0,0.0,,0.0,0.0,1.0,37,0.0,29,6.0,6.0,2,CIN,Kendric Pryor,0.125
00-0037429,0.0,,,0.19481,5.33333,0.0,0.0,0.0,81,15.0,77,4.0,9.0,16,CAR,Raheem Blackshear,0.07188
00-0037450,0.0,,,0.07407,5.5,,0.0,0.0,24,2.0,27,0.0,3.0,4,LV,Tyreik McAllister,0.02333
00-0037475,0.08444,0.84211,10.94737,0.0,,0.0,0.0,19.0,225,0.0,169,8.0,14.0,16,LAC,Stone Smartt,0.192
00-0037487,0.03509,1.0,5.0,0.01802,3.5,0.125,0.0,4.0,114,2.0,111,8.0,20.0,7,CAR,Deven Thompkins,0.11571
00-0037509,0.04698,0.85714,4.14286,0.44828,4.69231,0.0,0.28571,7.0,149,39.0,87,8.0,7.0,5,LV,Sincere McCormick,0.26
00-0037524,0.07407,0.5,24.5,0.0,,0.0,,2.0,27,0.0,32,1.0,0.0,1,TEN,Tay Martin,0.06
00-0037525,0.04094,0.78571,6.42857,0.45672,5.15686,0.03571,0.5,14.0,342,153.0,335,28.0,38.0,12,SF,Jordan Mason,0.48667
00-0037539,0.07278,0.82609,6.6087,0.0,,0.0,0.0,23.0,316,0.0,254,21.0,21.0,14,DEN,Lucas Krull,0.35846
00-0037545,0.2426,0.4878,8.5122,0.03529,4.83333,0.33333,0.0,41.0,169,6.0,170,6.0,19.0,6,NO,Rashid Shaheed,0.75667
00-0037557,0.0355,0.83333,5.66667,0.1913,4.5,0.0,0.07692,6.0,169,22.0,115,16.0,13.0,19,LA,Ronnie Rivers,0.07353
00-0037569,0.03846,1.0,10.2,0.0,,0.0,0.0,5.0,130,0.0,82,18.0,9.0,10,KC,Peyton Hendershot,0.19714
00-0037578,0.01852,1.0,4.0,0.0,,0.0,,1.0,54,0.0,18,1.0,0.0,13,DAL,Juanyeh Thomas,0.0
00-0037594,0.01415,0.66667,3.66667,0.10185,4.63636,0.0,0.14286,3.0,212,22.0,216,12.0,7.0,17,TEN,Julius Chestnut,0.07118
00-0037609,0.0,,,0.06742,2.83333,0.0,0.09091,0.0,82,6.0,89,7.0,11.0,3,PIT,Aaron Shampklin,0.14667
00-0037614,0.11672,0.64865,6.86486,0.0,,0.15,0.0,37.0,317,0.0,243,20.0,28.0,15,HOU,John Metchie III,0.46154
00-0037617,0.00893,1.0,16.33333,0.10658,2.61765,0.0,0.28205,3.0,336,34.0,319,16.0,39.0,18,LAC,Hassan Haskins,0.11412
00-0037654,0.0354,0.875,4.875,0.0,,0.16667,0.0,8.0,226,0.0,157,6.0,18.0,10,LAC,Tucker Fisk,0.36111
00-0037664,0.14286,0.53623,11.94203,0.0,,0.16667,0.0,69.0,483,0.0,439,24.0,54.0,16,IND,Alec Pierce,0.80062
00-0037666,0.1264,0.62025,7.72152,0.0,,0.22581,0.0,79.0,625,0.0,420,31.0,26.0,17,DAL,Jalen Tolbert,0.75765
00-0037740,0.26094,0.65161,7.12258,0.00554,2.5,0.26087,0.0,155.0,594,2.0,361,46.0,19.0,17,NYJ,Garrett Wilson,0.96294
00-0037741,0.09244,0.57576,6.54545,0.00207,13.0,0.0,0.0,33.0,357,1.0,482,22.0,55.0,21,PHI,Jahan Dotson,0.58235
00-0037742,0.06015,0.5,4.25,0.01504,0.5,0.0,0.0,8.0,133,2.0,133,5.0,10.0,5,TEN,Treylon Burks,0.474
00-0037744,0.29341,0.7551,7.79592,0.00234,2.0,0.44828,0.03125,147.0,501,1.0,427,29.0,32.0,16,ARI,Trey McBride,0.89812
