team,week,gsis_id,slot
BAL,6,00-0034753,TE1
BAL,8,00-0034796,QB1
BAL,8,00-0034975,RB2
BAL,8,00-0032764,RB1
BAL,8,00-0036550,WR2
BAL,8,00-0039064,WR1
BAL,8,00-0030564,WR3
BAL,8,00-0034753,TE1
BAL,12,00-0034796,QB1
BAL,12,00-0034975,RB2
BAL,12,00-0032764,RB1
BAL,12,00-0036550,WR2
BAL,12,00-0039064,WR1
BAL,12,00-0030564,WR3
BAL,12,00-0034753,TE1
BAL,13,00-0034796,QB1
BAL,13,00-0032764,RB1
BAL,13,00-0034975,RB2
BAL,13,00-0039064,WR1
BAL,13,00-0036550,WR2
BAL,13,00-0030564,WR3
BAL,13,00-0034753,TE1
BAL,14,00-0034796,QB1
BAL,14,00-0032764,RB1
BAL,14,00-0039796,RB2
BAL,14,00-0039064,WR1
BAL,14,00-0036550,WR2
BAL,14,00-0030564,WR3
BAL,14,00-0034753,TE1
BAL,16,00-0034796,QB1
BAL,16,00-0032764,RB1
BAL,16,00-0038454,RB2
BAL,16,00-0039064,WR1
BAL,16,00-0036550,WR2
BAL,16,00-0030564,WR3
BAL,16,00-0034753,TE1
BAL,1,00-0034796,QB1
BAL,1,00-0034975,RB2
BAL,1,00-0032764,RB1
BAL,1,00-0039064,WR1
BAL,1,00-0036550,WR2
BAL,1,00-0030564,WR3
BAL,1,00-0034753,TE1
BAL,4,00-0034796,QB1
BAL,4,00-0032764,RB1
BAL,4,00-0034975,RB2
BAL,4,00-0039064,WR1
BAL,4,00-0036550,WR2
BAL,4,00-0030564,WR3
BAL,4,00-0034753,TE1
BAL,9,00-0034796,QB1
BAL,9,00-0032764,RB1
BAL,9,00-0034975,RB2
BAL,9,00-0039064,WR1
BAL,9,00-0036550,WR2
BAL,9,00-0030564,WR3
BAL,9,00-0034753,TE1
BAL,10,00-0034796,QB1
BAL,10,00-0032764,RB1
BAL,10,00-0034975,RB2
BAL,10,00-0036550,WR2
BAL,10,00-0039064,WR1
BAL,10,00-0030564,WR3
BAL,10,00-0034753,TE1
BAL,11,00-0034796,QB1
BAL,11,00-0032764,RB1
BAL,11,00-0034975,RB2
BAL,11,00-0036550,WR2
BAL,11,00-0039064,WR1
BAL,11,00-0030564,WR3
BAL,11,00-0034753,TE1
BAL,15,00-0034796,QB1
BAL,15,00-0032764,RB1
BAL,15,00-0038454,RB2
BAL,15,00-0039064,WR1
BAL,15,00-0036550,WR2
BAL,15,00-0030564,WR3
BAL,15,00-0034753,TE1
BAL,17,00-0034796,QB1
BAL,17,00-0032764,RB1
BAL,17,00-0038454,RB2
BAL,17,00-0039064,WR1
BAL,17,00-0036550,WR2
BAL,17,00-0030564,WR3
BAL,17,00-0034753,TE1
BAL,18,00-0034796,QB1
BAL,18,00-0032764,RB1
BAL,18,00-0038454,RB2
BAL,18,00-0036550,WR2
BAL,18,00-0039064,WR1
BAL,18,00-0030564,WR3
BAL,18,00-0034753,TE1
BUF,1,00-0034857,QB1
BUF,1,00-0037248,RB1
BUF,1,00-0039875,RB2
BUF,1,00-0037261,WR1
BUF,1,00-0039901,WR2
BUF,1,00-0036988,WR3
BUF,1,00-0038933,TE1
BUF,3,00-0034857,QB1
