name,team,rush_att,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,fpts_page,snapshot,kind,url
Alexander Mattison,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Andrew Beck,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jakob Johnson,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Salvon Ahmed,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Reggie Gilliam,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jermar Jefferson,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Demetric Felton Jr.,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kene Nwangwu,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jaret Patterson,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Deon Jackson,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Adam Prentice,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Tyrion Davis-Price,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Keaontay Ingram,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Brittain Brown,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Malik Davis,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Deneric Prince,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Ben VanSumeren,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Brady Russell,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jonathon Brooks,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jawhar Jordan,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Blake Watson,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Michael Wiley,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
British Brooks,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Cody Schrader,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kendall Milton,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Chris Collier,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Donovan Edwards,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Corey Kiner,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
