name,team,rush_att,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,fpts_page,snapshot,kind,url
Joe Mixon,HOU,244.8,961.8,7.6,40.1,304.4,2.2,0.9,183.4,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Rachaad White,TB,235.2,913.9,6.5,52.6,395.9,2.4,1.7,181.2,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Kenneth Walker III,SEA,240.9,1005.7,9.0,29.1,224.2,1.0,0.9,181.1,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Alvin Kamara,NO,204.7,802.4,5.3,66.0,467.3,2.2,0.9,169.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
David Montgomery,DET,205.1,902.4,9.9,22.4,167.6,0.8,0.9,169.5,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Aaron Jones,MIN,189.3,869.1,5.5,42.8,313.5,1.9,1.0,160.6,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Zamir White,LV,235.3,988.6,5.8,32.9,229.9,0.8,1.3,158.6,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Najee Harris,PIT,237.2,949.0,6.6,28.6,180.8,1.2,1.0,157.5,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
James Conner,ARI,201.6,882.9,6.7,32.6,222.2,1.4,0.9,157.2,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Raheem Mostert,MIA,168.7,804.1,8.5,25.4,179.2,1.3,1.0,155.1,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Rhamondre Stevenson,NE,208.9,871.3,5.6,41.0,282.2,0.8,1.0,152.2,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Tony Pollard,TEN,197.5,846.1,5.7,34.2,236.7,0.9,0.9,145.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
D'Andre Swift,CHI,178.3,810.5,5.2,36.5,251.8,1.6,1.0,144.9,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Javonte Williams,DEN,204.2,834.3,4.7,41.2,247.1,1.5,0.9,143.5,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Brian Robinson Jr.,WAS,185.3,776.1,5.3,28.8,241.2,1.8,1.5,141.4,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Devin Singletary,NYG,196.5,847.3,5.0,33.0,212.9,0.7,1.0,137.9,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Zack Moss,CIN,170.3,737.6,5.8,29.5,204.7,1.4,0.5,136.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Gus Edwards,LAC,183.9,781.1,7.0,15.0,131.2,0.4,1.3,132.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Jaylen Warren,PIT,142.4,677.4,3.9,47.5,323.9,1.7,1.4,131.1,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Chase Brown,CIN,142.4,618.2,4.0,37.3,312.6,1.9,0.6,127.3,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Ezekiel Elliott,DAL,170.2,663.8,5.7,29.2,193.8,1.3,1.0,126.1,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Tyjae Spears,TEN,141.6,620.7,3.6,43.3,336.0,1.6,0.9,124.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Jerome Ford,CLE,168.7,663.0,4.0,34.2,243.8,1.9,0.8,124.3,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Austin Ekeler,WAS,126.6,523.9,4.2,46.3,367.0,2.0,1.7,122.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Nick Chubb,CLE,149.7,726.7,5.0,17.5,138.2,0.6,0.8,118.6,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Jonathon Brooks,CAR,152.1,664.3,4.4,23.1,177.9,0.9,1.6,113.1,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
J.K. Dobbins,LAC,133.6,590.3,3.9,24.9,188.4,1.5,0.9,108.2,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Chuba Hubbard,CAR,156.3,622.0,4.0,27.7,192.6,0.5,0.9,106.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Ty Chandler,MIN,146.6,598.6,4.3,21.1,154.9,0.6,0.8,103.6,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Blake Corum,LAR,138.3,588.5,4.6,19.5,152.3,0.7,1.5,103.2,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Rico Dowdle,DAL,140.0,545.3,3.6,23.6,181.0,1.2,0.4,100.6,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Tyler Allgeier,ATL,134.3,549.2,3.8,21.1,167.1,1.2,0.8,100.1,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Trey Benson,ARI,134.2,578.5,3.9,19.1,139.4,0.9,1.5,97.5,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Khalil Herbert,CIN,148.1,597.2,3.4,16.6,114.9,0.9,0.8,95.0,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Antonio Gibson,NE,119.8,461.3,2.6,38.1,286.2,1.2,1.4,94.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Jaleel McLaughlin,DEN,102.6,498.4,2.7,32.8,215.1,1.2,0.8,93.3,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Zach Charbonnet,SEA,117.5,486.4,2.9,31.8,213.1,0.8,0.8,90.5,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Bucky Irving,TB,116.2,436.6,2.8,21.0,164.8,1.0,1.5,79.7,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Jordan Mason,SF,100.3,442.0,3.8,10.1,74.0,0.6,0.1,77.7,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
MarShawn Lloyd,GB,99.7,414.5,3.1,16.9,131.5,0.9,1.1,76.7,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Ray Davis,BUF,86.4,390.5,2.9,16.7,136.7,0.9,0.8,73.9,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Alexander Mattison,LV,113.7,425.0,2.6,14.5,97.8,1.0,0.9,72.1,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Jamaal Williams,NO,114.7,420.4,3.0,17.9,102.2,0.3,0.5,70.6,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Tyrone Tracy Jr.,NYG,102.4,396.4,2.5,16.3,119.5,0.8,1.1,69.2,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Braelon Allen,NYJ,103.9,393.4,2.7,12.6,96.1,0.8,0.8,68.5,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Tank Bigsby,JAC,101.5,343.1,3.6,9.2,62.8,0.3,2.2,59.4,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Miles Sanders,CAR,96.9,349.6,2.0,16.2,99.8,0.1,1.2,55.4,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Jaylen Wright,MIA,57.8,270.4,2.2,12.8,104.4,0.7,0.8,53.7,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Kenneth Gainwell,PHI,72.2,277.3,2.1,17.8,124.1,0.5,1.2,53.0,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Roschon Johnson,CHI,66.9,263.2,2.0,17.9,118.5,0.4,0.8,51.5,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Dameon Pierce,HOU,72.8,306.2,2.2,10.5,76.8,0.2,0.5,51.4,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Clyde Edwards-Helaire,KC,58.3,225.3,1.5,14.2,119.0,1.2,0.5,49.7,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
D'Onta Foreman,CLE,64.3,280.4,2.0,10.6,78.0,0.3,0.2,49.1,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Audric Estime,DEN,68.2,275.6,1.9,12.9,96.9,0.5,1.4,48.7,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Samaje Perine,KC,46.9,199.6,1.2,22.0,172.8,0.8,0.8,47.9,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Justice Hill,BAL,57.8,231.1,1.6,13.8,102.4,0.5,0.8,44.0,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Kendre Miller,NO,54.2,221.8,1.7,11.9,100.5,0.5,0.7,43.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Keaton Mitchell,BAL,52.5,255.0,1.6,8.6,69.4,0.2,0.7,42.1,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
